@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
297,'2018/11/21 07:43:22:964',1,70.054665,8.339739,183,754,?
298,'2018/11/21 07:43:22:984',1,70.073456,8.325034,183,754,?
299,'2018/11/21 07:43:22:998',1,70.093323,8.348495,183,754,?
300,'2018/11/21 07:43:23:016',1,70.103577,8.397396,183,754,?
301,'2018/11/21 07:43:23:033',1,70.090485,8.422255,183,754,?
302,'2018/11/21 07:43:23:048',1,70.03569,8.522339,183,754,?
303,'2018/11/21 07:43:23:064',1,69.989243,8.568741,183,754,?
304,'2018/11/21 07:43:23:081',1,69.971077,8.591739,183,754,?
305,'2018/11/21 07:43:23:098',1,69.900864,8.669038,183,754,?
306,'2018/11/21 07:43:23:117',1,69.875366,8.726159,183,754,?
307,'2018/11/21 07:43:23:132',1,69.877457,8.791361,183,754,?
308,'2018/11/21 07:43:23:149',1,69.904099,8.887059,183,754,?
309,'2018/11/21 07:43:23:166',1,70.00396,9.079699,183,754,?
310,'2018/11/21 07:43:23:183',1,70.057053,9.170175,183,754,?
311,'2018/11/21 07:43:23:199',1,70.104836,9.244841,183,754,?
312,'2018/11/21 07:43:23:215',1,70.146667,9.303993,183,754,?
313,'2018/11/21 07:43:23:233',1,70.171982,9.343734,183,754,?
314,'2018/11/21 07:43:23:248',1,70.180222,9.337955,183,754,?
315,'2018/11/21 07:43:23:266',1,70.173729,9.274193,183,754,?
316,'2018/11/21 07:43:23:283',1,70.15979,9.19565,183,754,?
317,'2018/11/21 07:43:23:299',1,70.124947,8.997899,183,754,?
318,'2018/11/21 07:43:23:316',1,70.105927,8.863053,183,754,?
319,'2018/11/21 07:43:23:332',1,70.102898,8.830578,183,754,?
320,'2018/11/21 07:43:23:350',1,70.117683,8.842598,183,754,?
